try,second
871,0.0067123
872,0.0070571
873,0.0070924
874,0.0068518
875,0.0067153
876,0.0072302
877,0.0070342
878,0.006732
879,0.0092923
880,0.0139573
881,0.0095299
882,0.0068576
883,0.0067035
884,0.0069173
885,0.0068384
886,0.0073925
887,0.0072658
888,0.0114715
889,0.0140591
890,0.0094372
891,0.0070659
892,0.0069014
893,0.0070633
894,0.0075753
895,0.014768
896,0.0187898
897,0.0157983
898,0.0094698
899,0.0068545
900,0.006858
901,0.0068879
902,0.0069252
903,0.0068747
904,0.0069413
905,0.0070775
906,0.0070524
907,0.0067424
908,0.0069635
909,0.0070561
910,0.0074083
911,0.0071804
912,0.0129761
913,0.0117465
914,0.0078363
915,0.0067009
916,0.0068812
917,0.0068218
918,0.0071445
919,0.0072386
920,0.013405
921,0.0128169
922,0.0081956
923,0.0067377
924,0.0067774
925,0.0067907
926,0.0068154
927,0.0069365
928,0.0069502
929,0.0067637
930,0.006791
931,0.0067419
932,0.0071401
933,0.0067485
934,0.0071209
935,0.0068391
936,0.00697
937,0.0072133
938,0.0069277
939,0.0073636
940,0.0068641
941,0.0069547
942,0.0069158
943,0.006888
944,0.0069663
945,0.006756
946,0.006786
947,0.0067602
948,0.0068534
949,0.0071004
950,0.0068518
951,0.0069857
952,0.0071621
953,0.0116011
954,0.012818
955,0.0089834
956,0.0069012
957,0.0069187
958,0.0071856
959,0.0068415
960,0.0190028
961,0.0134686
962,0.0147048
963,0.0088523
964,0.0067652
965,0.0079616
966,0.0067518
967,0.006886
968,0.0067866
969,0.007328
970,0.00848
971,0.0068002
972,0.0072411
973,0.0071949
974,0.0109672
975,0.012697
976,0.0115732
977,0.0185651
978,0.0193177
979,0.0157152
980,0.0171918
981,0.0067574
982,0.0070098
983,0.006781
984,0.0070498
985,0.0073318
986,0.0067202
987,0.0069728
988,0.0067573
989,0.0067353
990,0.0071273
991,0.0068229
992,0.0068205
993,0.0071376
994,0.0068733
995,0.0069955
996,0.007184
997,0.0107163
998,0.0133051
999,0.0089664
1000,0.0072465
